Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.9104,0.0,0.9104,0.01,0.9204,100.025,101.51,100.046,100.11,201.62,0,0,0.8486,1.0,-,,
2,sat,1,0,1,1,1,0.9353,0.005,0.9403,0.01,0.9502,100.03,103.09,70.919,70.96,174.05,1,1,0.8486,1.0,-,[30.  0. 12. 12.  6.  6.  5.  0.  0.  8.  5. 50. 36.],[29.  0. 12. 12.  6.  6.  5.  1.  0.  8.  5. 50. 36.]
3,unknown,1,0,2,1,0,0.9005,0.0,0.9005,0.0249,0.9254,100.092,106.03,100.098,100.15,206.18,0,0,0.8486,1.0,-,,
4,unsat,1,1,2,0,0,0.9403,0.0,0.9403,0,0.9403,38.154,39.65,0,0.0,39.65,0,0,0.8486,1.0,-,,
5,sat,2,1,2,0,0,0.9502,0.0,0.9502,0,0.9502,18.542,20.69,0,0.0,20.69,1,1,0.8486,1.0,-,[59.  1. 12. 16.  5. 12.  2.  1.  0. 12.  1. 81. 37.],[63.  1. 12. 16.  5. 12.  2.  0.  0. 12.  1. 81. 37.]
6,sat,3,1,2,0,0,0.8905,0.0,0.8905,0,0.8905,69.418,78.74,0,0.0,78.74,1,1,0.8486,1.0,-,[81.  6. 15. 13.  4.  2.  5.  0.  0.  0.  0. 78. 18.],[80.  6. 15. 13.  4.  2.  5.  4.  0.  0.  0. 78. 18.]
7,unknown,3,1,3,1,0,0.6915,0.0,0.6915,0.209,0.9005,100.158,146.04,100.031,100.09,246.14,0,0,0.8486,1.0,-,,
8,sat,4,1,3,1,1,0.9353,0.0,0.9353,0.0199,0.9552,100.119,103.55,59.666,59.71,163.25,1,1,0.8486,1.0,-,[39.  6.  0. 14.  3.  9.  2.  0.  1.  6.  6. 63. 27.],[38.  6.  0. 14.  3.  9.  2.  4.  1.  6.  6. 63. 27.]
9,sat,5,1,3,0,0,0.9502,0.0,0.9502,0,0.9502,12.387,14.71,0,0.0,14.71,1,1,0.8486,1.0,-,[52.  6. 12. 13.  6. 12.  5.  0.  0.  8. 18. 67. 36.],[51.  6. 12. 13.  6. 12.  5.  4.  0.  8. 18. 67. 36.]
10,unsat,5,2,3,0,0,0.9552,0.0,0.9552,0,0.9552,8.429,8.67,0,0.0,8.67,0,0,0.8486,1.0,-,,
11,unknown,5,2,4,1,0,0.8657,0.01,0.8756,0.0448,0.9204,100.011,109.77,100.268,100.28,210.06,0,0,0.8486,1.0,-,,
12,unsat,5,3,4,0,0,0.9453,0.0,0.9453,0,0.9453,26.949,27.18,0,0.0,27.18,0,0,0.8486,1.0,-,,
13,unknown,5,3,5,1,0,0.8706,0.005,0.8756,0.0398,0.9154,100.013,110.71,100.135,100.19,210.9,0,0,0.8486,1.0,-,,
14,unknown,5,3,6,1,0,0.9303,0.0,0.9303,0.005,0.9353,100.038,100.42,100.08,100.13,200.55,0,0,0.8486,1.0,-,,
15,sat,6,3,6,1,1,0.9303,0.005,0.9353,0.0149,0.9502,100.056,104.21,19.185,19.23,123.44,1,1,0.8486,1.0,-,[26.  2.  7. 13.  6.  9.  0.  0.  1.  8.  2. 60. 17.],[25.  2.  7. 13.  6.  9.  0.  1.  1.  8.  2. 60. 17.]
16,unsat,6,4,6,0,0,0.9403,0.0,0.9403,0,0.9403,65.084,65.5,0,0.0,65.5,0,0,0.8486,1.0,-,,
17,unknown,6,4,7,1,0,0.9254,0.005,0.9303,0.01,0.9403,100.025,103.13,100.071,100.11,203.25,0,0,0.8486,1.0,-,,
18,unknown,6,4,8,1,0,0.8905,0.0,0.8905,0.0199,0.9104,100.068,100.94,100.027,100.09,201.03,0,0,0.8486,1.0,-,,
19,unknown,6,4,9,1,0,0.6567,0.0,0.6567,0.1891,0.8458,100.078,141.86,100.085,100.17,242.04,0,0,0.8486,1.0,-,,
20,sat,7,4,9,0,0,0.9403,0.0,0.9403,0,0.9403,23.966,25.57,0,0.0,25.57,1,1,0.8486,1.0,-,[81.  3. 11.  1.  0. 13.  5.  4.  1. 18. 17. 25. 37.],[76.  3. 11.  1.  0. 13.  5.  2.  1. 18. 17. 25. 37.]
21,sat,8,4,9,0,0,0.9453,0.0,0.9453,0,0.9453,9.251,9.65,0,0.0,9.65,1,1,0.8486,1.0,-,[100.   0.   0.   6.   0.  13.   1.   1.   1.  12.   6.  20.  24.],[96.  0.  0.  6.  0. 13.  1.  0.  1. 12.  6. 20. 24.]
22,sat,9,4,9,0,0,0.9453,0.0,0.9453,0,0.9453,20.393,22.73,0,0.0,22.73,1,1,0.8486,1.0,-,[76.  2.  0.  7.  6.  5.  0.  3.  1. 12. 17. 47. 37.],[75.  2.  0.  7.  6.  5.  0.  4.  1. 12. 17. 47. 37.]
23,unsat,9,5,9,0,0,0.9502,0.0,0.9502,0,0.9502,13.717,13.95,0,0.0,13.95,0,0,0.8486,1.0,-,,
24,sat,10,5,9,1,1,0.9303,0.005,0.9353,0.01,0.9453,100.034,102.56,94.97,95.01,197.57,1,1,0.8486,1.0,-,[28.  6.  8.  1.  0.  4.  5.  0.  0. 13. 18. 59. 29.],[23.  6.  8.  1.  0.  4.  5.  4.  0. 13. 18. 59. 29.]
25,sat,11,5,9,0,0,0.9552,0.0,0.9552,0,0.9552,5.815,7.03,0,0.0,7.03,1,1,0.8486,1.0,-,[34.  5.  5. 13.  6.  4.  5.  4.  1. 12. 11. 95. 35.],[29.  5.  5. 13.  6.  4.  5.  2.  1. 12. 11. 95. 35.]
26,sat,12,5,9,0,0,0.9453,0.0,0.9453,0,0.9453,20.821,22.02,0,0.0,22.02,1,1,0.8486,1.0,-,[56.  0. 15.  8.  6. 11.  0.  3.  1. 12.  6. 60. 15.],[54.  0. 15.  8.  6. 11.  0.  4.  1. 12.  6. 60. 15.]
27,unknown,12,5,10,1,0,0.8856,0.0,0.8856,0.0299,0.9154,100.028,107.16,100.319,100.38,207.54,0,0,0.8486,1.0,-,,
28,unknown,12,5,11,1,0,0.6219,0.0,0.6219,0.2438,0.8657,100.025,152.48,100.085,100.16,252.64,0,0,0.8486,1.0,-,,
29,unknown,12,5,12,1,0,0.9154,0.0,0.9154,0.01,0.9254,100.031,101.51,100.051,100.11,201.62,0,0,0.8486,1.0,-,,
30,sat,13,5,12,0,0,0.9204,0.0,0.9204,0,0.9204,24.133,29.5,0,0.0,29.5,1,1,0.8486,1.0,-,[16.  6.  0.  7.  5.  6.  5.  4.  1.  9.  5. 43. 23.],[11.  6.  0.  7.  5.  6.  5.  3.  1.  9.  5. 43. 23.]
