Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.2727,0.0909,0.3636,0,0.3636,0.01,0.16,0,0.0,0.16,0,0,0.8284,1.0,-,,
2,unsat,0,2,0,0,0,0.5455,0.0,0.5455,0,0.5455,0.011,0.11,0,0.0,0.11,0,0,0.8284,1.0,-,,
3,unsat,0,3,0,0,0,0.3636,0.0,0.3636,0,0.3636,0.01,0.16,0,0.0,0.16,0,0,0.8284,1.0,-,,
4,sat,1,3,0,0,0,0.4545,0.0,0.4545,0,0.4545,1.851,1.96,0,0.0,1.96,1,1,0.8284,1.0,-,[40.  1.  2. 13.  0. 13.  1.  4.  0. 17.  9. 68.  0.],[40.  1.  2. 13.  1. 13.  1.  2.  0. 17.  9. 68.  0.]
5,unsat,1,4,0,0,0,0.1818,0.0,0.1818,0,0.1818,54.767,54.92,0,0.0,54.92,0,0,0.8284,1.0,-,,
6,unsat,1,5,0,0,0,0.1818,0.0,0.1818,0,0.1818,0.012,0.16,0,0.0,0.16,0,0,0.8284,1.0,-,,
7,sat,2,5,0,0,0,0.4545,0.0,0.4545,0,0.4545,0.044,0.15,0,0.0,0.15,1,1,0.8284,1.0,-,[70.  6.  6.  6.  2. 12.  5.  1.  1. 12.  6. 37.  0.],[70.  6.  6.  6.  0. 12.  5.  0.  1. 12.  6. 37.  0.]
8,unsat,2,6,0,0,0,0.1818,0.0,0.1818,0,0.1818,0.012,0.14,0,0.0,0.14,0,0,0.8284,1.0,-,,
9,unsat,2,7,0,0,0,0.3636,0.0909,0.4545,0,0.4545,2.04,2.16,0,0.0,2.16,0,0,0.8284,1.0,-,,
10,unsat,2,8,0,0,0,0.3636,0.0,0.3636,0,0.3636,0.01,0.13,0,0.0,0.13,0,0,0.8284,1.0,-,,
