Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unsat,0,1,0,0,0,0.9767,0.0,0.9767,0,0.9767,0.007,0.19,0,0.0,0.19,0,0,0.887,1.0,-,,
2,unsat,0,2,0,0,0,0.9457,0.0,0.9457,0,0.9457,0.014,0.21,0,0.0,0.21,0,0,0.887,1.0,-,,
3,sat,1,2,0,0,0,0.8992,0.0,0.8992,0,0.8992,0.919,2.15,0,0.0,2.15,1,1,0.887,1.0,-,"[  0.   2.   2.   4.   1.   0.   1.   1.   0.   6. 172.  -3.  10. 387.
   7.   0.]","[  1.   2.   2.   4.   1.   0.   1.   1.   0.   6. 172.  -3.  10. 387.
   7.   0.]"
4,unsat,1,3,0,0,0,0.9457,0.0,0.9457,0,0.9457,0.014,0.21,0,0.0,0.21,0,0,0.887,1.0,-,,
5,unsat,1,4,0,0,0,0.9457,0.0,0.9457,0,0.9457,0.013,0.21,0,0.0,0.21,0,0,0.887,1.0,-,,
6,unsat,1,5,0,0,0,0.9767,0.0,0.9767,0,0.9767,0.007,0.2,0,0.0,0.2,0,0,0.887,1.0,-,,
7,unsat,1,6,0,0,0,0.9457,0.0,0.9457,0,0.9457,0.012,0.21,0,0.0,0.21,0,0,0.887,1.0,-,,
8,sat,2,6,0,0,0,0.9457,0.0,0.9457,0,0.9457,0.04,0.24,0,0.0,0.24,1,1,0.887,1.0,-,"[0.000e+00 2.000e+00 0.000e+00 6.000e+00 0.000e+00 0.000e+00 1.000e+00
 1.000e+00 1.100e+01 1.000e+00 3.557e+03 1.000e+00 1.000e+00 6.400e+02
 7.000e+00 1.000e+00]","[1.000e+00 2.000e+00 0.000e+00 6.000e+00 0.000e+00 0.000e+00 1.000e+00
 1.000e+00 1.100e+01 1.000e+00 3.557e+03 1.000e+00 1.000e+00 6.400e+02
 7.000e+00 1.000e+00]"
9,unsat,2,7,0,0,0,0.9612,0.0,0.9612,0,0.9612,0.28,0.62,0,0.0,0.62,0,0,0.887,1.0,-,,
10,sat,3,7,0,0,0,0.9225,0.0078,0.9302,0,0.9302,0.396,1.25,0,0.0,1.25,1,1,0.887,1.0,-,"[0.00e+00 2.00e+00 1.00e+00 1.00e+00 1.00e+00 0.00e+00 1.00e+00 0.00e+00
 1.10e+01 3.00e+00 1.11e+03 1.00e+00 4.00e+01 4.69e+02 7.00e+00 1.00e+00]","[1.00e+00 2.00e+00 1.00e+00 1.00e+00 1.00e+00 0.00e+00 1.00e+00 0.00e+00
 1.10e+01 3.00e+00 1.11e+03 1.00e+00 4.00e+01 4.69e+02 7.00e+00 1.00e+00]"
