,Partition_ID,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,ST_compression,H_compression,SV-time,HV-Time,Total-Time
0,187,175,4,8,10,2,0.8162679144385026,0.0007336898395721924,14.362668449197859,4.900251336898395,19.426096256684495
1,46,28,7,11,16,5,0.8689326086956521,0.006241304347826088,51.057956521739136,29.199347826086953,80.7313043478261
2,5957,3534,2422,1,2,1,0.6981534329360417,0.0,0.49567047171394996,0.01885596776901125,0.6043713278495888
3,13426,63,13363,0,0,0,0.6362984060777596,0.0,0.1757261284075674,0.0,0.2681476240131089
4,18,0,0,18,18,0,0.6293333333333333,0.027555555555555562,100.46994444444445,100.52872222222223,201.54388888888892
