,Partition_ID,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,ST_compression,H_compression,SV-time,HV-Time,Total-Time
0,75,9,58,8,9,1,0.8977626666666665,0.005266666666666667,14.03668,10.997959999999999,25.404666666666664
1,141,30,103,8,9,1,0.8547007092198583,0.008539007092198582,7.7576453900709215,5.8320425531914895,13.841205673758866
2,139,27,108,4,6,2,0.9642460431654675,0.0019230215827338133,9.77558273381295,3.417906474820144,13.488561151079136
3,37,1,30,6,6,0,0.9123756756756757,0.03268648648648649,17.10016216216216,16.287,49.98
4,510,114,394,2,7,5,0.8253882352941176,0.001663529411764706,2.291692156862745,0.5388098039215686,2.9622156862745097
5,510,156,354,0,3,3,0.7603843137254902,0.00196078431372549,1.1726215686274508,0.07650392156862744,1.3623725490196077
6,124,62,57,5,9,4,0.9157072580645162,0.00850241935483871,8.305483870967741,5.102362903225806,14.893870967741934
7,23,1,15,7,10,3,0.7937391304347825,0.036869565217391306,46.233,31.640347826086956,79.08391304347825
