Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,sat,1,0,0,0,0,0.9154,0.005,0.9204,0,0.9204,89.104,94.53,0,0.0,94.53,1,1,0.8486,1.0,-,[39.  0. 15. 11.  4.  0.  0.  4.  1. 10.  0. 70. 20.],[39.  0. 15. 11.  4.  0.  0.  4.  0. 10.  0. 70. 20.]
2,unknown,1,0,1,1,0,0.5522,0.0,0.5522,0.2687,0.8209,100.122,159.11,100.043,100.18,259.29,0,0,0.8486,1.0,-,,
3,unknown,1,0,2,1,0,0.8856,0.0,0.8856,0.0249,0.9104,100.167,106.5,100.056,100.12,206.62,0,0,0.8486,1.0,-,,
4,unknown,1,0,3,1,0,0.8756,0.0,0.8756,0.0398,0.9154,100.072,106.65,100.015,100.08,206.73,0,0,0.8486,1.0,-,,
5,unknown,1,0,4,1,0,0.7761,0.0,0.7761,0.1194,0.8955,100.244,125.07,100.106,100.18,225.25,0,0,0.8486,1.0,-,,
6,unknown,1,0,5,1,0,0.4428,0.0,0.4428,0.2438,0.6866,100.612,173.37,100.241,100.45,273.82,0,0,0.8486,1.0,-,,
7,unknown,1,0,6,1,0,0.9005,0.0,0.9005,0.0249,0.9254,100.059,105.97,100.124,100.18,206.15,0,0,0.8486,1.0,-,,
8,unknown,1,0,7,1,0,0.7313,0.0,0.7313,0.1343,0.8657,100.39,131.2,100.091,100.18,231.39,0,0,0.8486,1.0,-,,
9,sat,2,0,7,1,1,0.9204,0.0,0.9204,0.0249,0.9453,100.016,103.49,39.225,39.27,142.76,1,1,0.8486,1.0,-,[89.  0. 14. 11.  3.  1.  0.  4.  0. 13. 12. 70. 30.],[89.  0. 14. 11.  3.  1.  0.  4.  1. 13. 12. 70. 30.]
