Partition_ID,Verification,SAT_count,UNSAT_count,UNK_count,h_attempt,h_success,B_compression,S_compression,ST_compression,H_compression,T_compression,SV-time,S-time,HV-Time,H-Time,Total-Time,C-check,V-accurate,Original-acc,Pruned-acc,Acc-dec,C1,C2
1,unknown,0,0,1,1,0,0.3333,0.0,0.3333,0.0,0.3333,100.009,100.14,100.172,100.21,200.35,0,0,0.8452,1.0,-,,
2,unsat,0,1,1,0,0,0.381,0.0476,0.4286,0,0.4286,2.329,2.47,0,0.0,2.47,0,0,0.8452,1.0,-,,
3,unsat,0,2,1,0,0,0.3333,0.0,0.3333,0,0.3333,56.78,56.91,0,0.0,56.91,0,0,0.8452,1.0,-,,
4,sat,1,2,1,1,1,0.2381,0.0,0.2381,0.0476,0.2857,100.011,100.15,42.869,42.91,143.06,1,1,0.8452,1.0,-,[32.  3. 13. 11.  5. 12.  5.  2.  1.  0. 19. 49. 19.],[32.  3. 13. 11.  5. 12.  5.  4.  1.  0. 19. 49. 19.]
5,unsat,1,3,1,0,0,0.3333,0.0476,0.381,0,0.381,8.205,8.37,0,0.0,8.37,0,0,0.8452,1.0,-,,
6,unsat,1,4,1,0,0,0.381,0.0476,0.4286,0,0.4286,2.597,2.74,0,0.0,2.74,0,0,0.8452,1.0,-,,
7,sat,2,4,1,0,0,0.2857,0.0,0.2857,0,0.2857,33.553,33.7,0,0.0,33.7,1,1,0.8452,1.0,-,[33.  0.  2. 11.  6.  5.  5.  1.  1.  0. 19. 54.  7.],[33.  0.  2. 11.  6.  5.  5.  4.  1.  0. 19. 54.  7.]
8,unsat,2,5,1,0,0,0.4286,0.0,0.4286,0,0.4286,5.615,5.74,0,0.0,5.74,0,0,0.8452,1.0,-,,
9,unsat,2,6,1,0,0,0.4286,0.0952,0.5238,0,0.5238,0.491,0.63,0,0.0,0.63,0,0,0.8452,1.0,-,,
10,unsat,2,7,1,0,0,0.381,0.0476,0.4286,0,0.4286,1.976,2.12,0,0.0,2.12,0,0,0.8452,1.0,-,,
11,sat,3,7,1,1,1,0.1905,0.0,0.1905,0.0952,0.2857,100.01,100.16,47.024,47.07,147.23,1,1,0.8452,1.0,-,[35.  5. 12.  3.  4. 13.  1.  4.  1.  1.  5. 46. 34.],[35.  5. 12.  3.  4. 13.  1.  3.  1.  1.  5. 46. 34.]
12,unsat,3,8,1,0,0,0.381,0.0476,0.4286,0,0.4286,3.158,3.3,0,0.0,3.3,0,0,0.8452,1.0,-,,
13,unsat,3,9,1,0,0,0.4286,0.0476,0.4762,0,0.4762,3.429,3.55,0,0.0,3.55,0,0,0.8452,1.0,-,,
14,sat,4,9,1,0,0,0.2381,0.0,0.2381,0,0.2381,73.493,73.66,0,0.0,73.66,1,1,0.8452,1.0,-,[30.  0.  0. 12.  4.  5.  5.  0.  1.  0.  5. 67. 13.],[30.  0.  0. 12.  4.  5.  5.  1.  1.  0.  5. 67. 13.]
15,sat,5,9,1,1,1,0.2857,0.0,0.2857,0.0476,0.3333,100.067,100.21,69.597,69.64,169.85,1,1,0.8452,1.0,-,[35.  5.  5.  1.  6.  4.  0.  2.  0.  1. 18. 96. 24.],[35.  5.  5.  1.  6.  4.  0.  0.  0.  1. 18. 96. 24.]
16,unsat,5,10,1,0,0,0.4286,0.0,0.4286,0,0.4286,5.338,5.46,0,0.0,5.46,0,0,0.8452,1.0,-,,
17,unsat,5,11,1,0,0,0.4286,0.0952,0.5238,0,0.5238,0.584,0.72,0,0.0,0.72,0,0,0.8452,1.0,-,,
18,unsat,5,12,1,0,0,0.3333,0.0,0.3333,0,0.3333,65.015,65.15,0,0.0,65.15,0,0,0.8452,1.0,-,,
19,unsat,5,13,1,0,0,0.4762,0.0,0.4762,0,0.4762,1.392,1.5,0,0.0,1.5,0,0,0.8452,1.0,-,,
20,unsat,5,14,1,0,0,0.4286,0.0,0.4286,0,0.4286,6.095,6.22,0,0.0,6.22,0,0,0.8452,1.0,-,,
21,unsat,5,15,1,0,0,0.4286,0.0952,0.5238,0,0.5238,0.361,0.49,0,0.0,0.49,0,0,0.8452,1.0,-,,
22,unknown,5,15,2,1,0,0.1905,0.0,0.1905,0.0476,0.2381,100.077,100.23,100.089,100.13,200.36,0,0,0.8452,1.0,-,,
23,unsat,5,16,2,0,0,0.4286,0.0476,0.4762,0,0.4762,4.904,5.03,0,0.0,5.03,0,0,0.8452,1.0,-,,
24,unsat,5,17,2,0,0,0.4286,0.0952,0.5238,0,0.5238,0.345,0.48,0,0.0,0.48,0,0,0.8452,1.0,-,,
25,unsat,5,18,2,0,0,0.4286,0.0,0.4286,0,0.4286,8.999,9.11,0,0.0,9.11,0,0,0.8452,1.0,-,,
26,sat,6,18,2,0,0,0.2381,0.0,0.2381,0,0.2381,32.41,32.55,0,0.0,32.55,1,1,0.8452,1.0,-,[30.  6.  6.  3.  0.  1.  5.  4.  1.  1. 16. 75. 35.],[30.  6.  6.  3.  0.  1.  5.  2.  1.  1. 16. 75. 35.]
27,unsat,6,19,2,0,0,0.4286,0.0,0.4286,0,0.4286,7.246,7.37,0,0.0,7.37,0,0,0.8452,1.0,-,,
28,unsat,6,20,2,0,0,0.4286,0.0476,0.4762,0,0.4762,1.27,1.42,0,0.0,1.42,0,0,0.8452,1.0,-,,
29,unsat,6,21,2,0,0,0.4762,0.0,0.4762,0,0.4762,2.617,2.73,0,0.0,2.73,0,0,0.8452,1.0,-,,
30,unsat,6,22,2,0,0,0.3333,0.0476,0.381,0,0.381,6.955,7.1,0,0.0,7.1,0,0,0.8452,1.0,-,,
31,unsat,6,23,2,0,0,0.3333,0.0476,0.381,0,0.381,6.587,6.73,0,0.0,6.73,0,0,0.8452,1.0,-,,
32,unsat,6,24,2,0,0,0.381,0.0476,0.4286,0,0.4286,3.635,3.77,0,0.0,3.77,0,0,0.8452,1.0,-,,
33,unsat,6,25,2,0,0,0.4762,0.0,0.4762,0,0.4762,2.016,2.13,0,0.0,2.13,0,0,0.8452,1.0,-,,
34,sat,7,25,2,1,1,0.2381,0.0,0.2381,0.0952,0.3333,100.056,100.21,9.928,9.97,110.18,1,1,0.8452,1.0,-,[33.  6.  4. 10.  2.  1.  4.  3.  0.  0.  8. 38. 38.],[33.  6.  4. 10.  2.  1.  4.  1.  0.  0.  8. 38. 38.]
35,sat,8,25,2,1,1,0.2381,0.0,0.2381,0.0476,0.2857,100.011,100.15,18.552,18.59,118.74,1,1,0.8452,1.0,-,[30.  4. 15. 13.  5.  6.  0.  0.  0.  0. 18. 80.  0.],[30.  4. 15. 13.  5.  6.  0.  2.  0.  0. 18. 80.  0.]
36,unsat,8,26,2,0,0,0.4762,0.0,0.4762,0,0.4762,4.272,4.38,0,0.0,4.38,0,0,0.8452,1.0,-,,
37,unsat,8,27,2,0,0,0.3333,0.0,0.3333,0,0.3333,64.447,64.6,0,0.0,64.6,0,0,0.8452,1.0,-,,
